Filename,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Entropy,max_prob,sum_avg,sum_var,sum_entropy,diff_avg,diff_var,diff_entropy,auto_corr,cluster_tendency,cluster_shade,cluster_prominence,max_corr_coeff, steatosis
18_217_217_45_24_jpg.rf.56a513eee4e606777fc04ea1fe3adba0.jpg,837.2284945,16.82893596,0.287106838,0.146540879,0.942358617,0.021474229,0.134072047,1,1,8.088366287,2,10,2299311.924,1,1,-1,1,0.134056788,0
202_2_13_8_jpg.rf.3276cdb0e6a3006b12aabd960aa0e71f.jpg,632.7705032,17.55155794,0.099989034,0.018406017,0.896385549,0.000338781,0.009785705,1,1,9.356057923,2,10,2395649.502,1,1,-1,1,0.009770447,1
205_9_2_4_jpg.rf.d24083ab2b1ab9e63e7d8e90f51d7b5e.jpg,879.7346711,16.6246861,0.217476109,0.074338957,0.945765075,0.005526281,0.046327264,1,1,8.29777241,2,10,2347152.561,1,1,-1,1,0.046312005,1
19_212_D1208_29_2_jpg.rf.a6ca45f62c873bea45f7067a6d5d1e9f.jpg,2589.921669,35.08340934,0.076628216,0.021625209,0.665410289,0.00046765,0.016756191,1,1,9.750018141,2,10,2141351.361,1,1,-1,1,0.016740932,0
208_5_6_18_jpg.rf.5691488a362e792022f895d822ca6724.jpg,885.876029,17.5256354,0.218541978,0.095266943,0.9444699,0.00907579,0.087485783,1,1,8.44624056,2,10,2318016.046,1,1,-1,1,0.087470524,1
201_10_8_21_jpg.rf.586fa9c54d9d4a7fe618804c47afa4c6.jpg,747.7212819,17.93800885,0.133689418,0.038841133,0.922379286,0.001508634,0.029165681,1,1,9.043406791,2,10,2381804.766,1,1,-1,1,0.029150423,1
17_209_102_9_32_jpg.rf.c7363ea222ef41f5b95b4f1b7ae43772.jpg,1046.680146,21.85774129,0.075237732,0.01469732,0.803318054,0.000216011,0.000968436,1,1,9.196053472,2,10,2348076.169,1,1,-1,1,0.000953177,0
201_9_4_62_jpg.rf.7c68c6f570f38d48949ed5da42dfba63.jpg,1191.022319,22.39366913,0.095579551,0.017542215,0.896174091,0.000307729,0.005720527,1,1,9.345879899,2,10,2251753.215,1,1,-1,1,0.005705269,1
201_0_14_60_jpg.rf.47ed350396a76e22e5f7cbaf3e7b2e64.jpg,711.5875252,15.70216096,0.290003029,0.15631821,0.948260374,0.024435383,0.142686621,1,1,7.942990395,2,10,2365756.422,1,1,-1,1,0.142671362,1
204_1_17_52_jpg.rf.5edc09c782f688cd662362aa7eec1196.jpg,695.3187392,14.76963616,0.270705187,0.118851558,0.95457926,0.014125693,0.102203754,1,1,8.11463597,2,10,2362592.083,1,1,-1,1,0.102188496,1
