Filename,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Entropy,max_prob,sum_avg,sum_var,sum_entropy,diff_avg,diff_var,diff_entropy,auto_corr,cluster_tendency,cluster_shade,cluster_prominence,max_corr_coeff, fibrosis
15_242_208_40_12_jpg.rf.be32ed3ee2a760f8265a35963a5597ae.jpg,1731.09985,28.26172539,0.05387323,0.010977303,0.634682875,0.000120501,0.000720696,1,1,9.578411917,2,10,2249937.665,1,1,-1,1,0.000705438,1
15_242_212_18_13_jpg.rf.36cc657eccca98837c39dab3c02cccf6.jpg,1901.028839,31.10604371,0.050842119,0.009355258,0.602269409,8.75E-05,0.00204948,1,1,9.870838881,2,10,2185701.599,1,1,-1,1,0.002034222,1
208_6_2_41_jpg.rf.b376c6347c660d4b97a23c2086d79f2a.jpg,945.3514859,16.91832483,0.260123228,0.091718414,0.945707895,0.008412268,0.057385449,1,1,8.05176512,2,10,2334463.354,1,1,-1,1,0.05737019,0
15_242_211_19_9_jpg.rf.33a57e4d52401ef28ce8aa74b85cd413.jpg,3269.867673,40.24394446,0.04860102,0.01009578,0.622317167,0.000101925,0.004403004,1,1,10.07039229,2,10,2004155.335,1,1,-1,1,0.004387746,1
15_242_208_35_10_jpg.rf.fca2dade1d815938083826a79b6d3946.jpg,1740.834645,28.58526176,0.079255469,0.028317063,0.697885438,0.000801856,0.026699548,1,1,9.681241334,2,10,2188681.48,1,1,-1,1,0.02668429,1
18_229_Masson_201_14_21_jpg.rf.826ec0ee3a4ad597a63e25742275c6c4.jpg,1238.262919,24.4689256,0.060483809,0.010359756,0.823179495,0.000107325,0.000923392,1,1,9.728866225,2,10,2214102.874,1,1,-1,1,0.000908133,0
15_242_212_22_18_jpg.rf.2507ed18caf750785ad603530130319e.jpg,2322.991633,34.49752824,0.052233723,0.010752588,0.585402361,0.000115618,0.003727352,1,1,9.840628284,2,10,2186126.39,1,1,-1,1,0.003712093,1
15_242_212_26_9_jpg.rf.8ef0c69725af0b4adbd6c6c3361c7544.jpg,1997.98616,31.42124703,0.054096496,0.011865506,0.618053841,0.00014079,0.007454703,1,1,9.832941001,2,10,2160326.457,1,1,-1,1,0.007439444,1
15_242_208_38_11_jpg.rf.24d779a58e78bcedda2a0c52f11db1d3.jpg,1285.605148,21.18264023,0.299120205,0.195186418,0.843125207,0.038097738,0.190781843,1,1,7.99296907,2,10,2264892.797,1,1,-1,1,0.190766584,1
207_2_19_8_jpg.rf.6838b11133cf39fa6afe1c92c17ca6af.jpg,887.7757621,17.67110345,0.218675542,0.074853932,0.935214053,0.005603111,0.05049379,1,1,8.494785578,2,10,2312566.581,1,1,-1,1,0.050478531,0
201_8_14_5_jpg.rf.ecddcf386127a53e338613f745d7478c.jpg,975.6705967,21.29362747,0.135108659,0.056357355,0.875408369,0.003176152,0.051743747,1,1,9.412292048,2,10,2249582.434,1,1,-1,1,0.051728489,0
15_242_208_23_16_jpg.rf.c1b3e15c15623c41602c047d0f1502bb.jpg,1578.664167,28.22181683,0.048062571,0.010252721,0.56194899,0.000105118,0.000844566,1,1,9.631691195,2,10,2265525.927,1,1,-1,1,0.000829307,1
17_234_102_13_8_jpg.rf.a7fce6582560bb1322fd06f43bcaf81f.jpg,4112.761562,42.84142428,0.086491237,0.022924496,0.704576198,0.000525532,0.015258494,1,1,9.852493587,2,10,1969011.431,1,1,-1,1,0.015243235,1
15_242_208_27_18_jpg.rf.68104d2a11542c8e55e6022d75c8cc43.jpg,1291.070009,24.3122417,0.060324595,0.012971359,0.655902555,0.000168256,0.003085481,1,1,9.320371745,2,10,2339311.937,1,1,-1,1,0.003070223,1
15_242_208_36_15_jpg.rf.517081b612eaf978a7da0d98ccc87117.jpg,1572.340461,27.3886693,0.067366312,0.012341067,0.68742851,0.000152302,0.005698006,1,1,9.669528588,2,10,2238695.178,1,1,-1,1,0.005682747,1
15_242_211_22_8_jpg.rf.621a7b25e5ab1adea30d0aa6bfd4f7a3.jpg,2851.985361,37.696249,0.050535405,0.010946706,0.640849971,0.00011983,0.006553833,1,1,10.08885059,2,10,2006754.303,1,1,-1,1,0.006538574,1
18_217_217_52_25_jpg.rf.14ef54f60c7f1c8b9ae0526abb02bbeb.jpg,1037.798273,21.32639663,0.152116003,0.041918095,0.914953369,0.001757127,0.028321115,1,1,9.287727185,2,10,2234701.594,1,1,-1,1,0.028305856,0
15_242_208_27_15_jpg.rf.86cbc1be86a6e0dc6991a35e458d24a1.jpg,1429.713805,22.90673738,0.227348952,0.103379014,0.865359284,0.010687221,0.086888956,1,1,8.480212388,2,10,2278639.691,1,1,-1,1,0.086873698,1
15_242_208_20_11_jpg.rf.795540ee5cf4d0a174d7e743bc2a9be2.jpg,1612.273842,27.63803025,0.072244177,0.014930539,0.689105438,0.000222921,0.006621398,1,1,9.617128227,2,10,2228543.614,1,1,-1,1,0.006606139,1
15_242_212_25_14_jpg.rf.8aea3d53f1abd983d482f24b2ab33b8b.jpg,2284.384886,33.43102147,0.060014447,0.013823994,0.64856044,0.000191103,0.008727183,1,1,9.782930145,2,10,2178823.717,1,1,-1,1,0.008711924,1
201_1_13_34_jpg.rf.5080ff50b46260cf60698a946fdb767d.jpg,876.6011621,19.24382059,0.193667064,0.085737047,0.919840882,0.007350841,0.071484071,1,1,8.803131599,2,10,2319017.265,1,1,-1,1,0.071468813,0
